,Age,Height(cm),Weight(kg),Gender,Physical Activity,Calories
0,51,151,87,0,0,2026
1,42,194,64,0,1,2252
2,51,148,99,1,0,1920
3,39,162,89,0,1,2525
4,48,145,48,0,4,2194
5,52,179,98,0,2,3045
6,23,210,76,0,4,3769
7,35,179,118,1,3,3349
8,45,137,36,1,2,1565
9,51,182,108,0,0,2542
10,58,202,41,1,2,1862
11,44,173,119,0,0,2715
12,25,145,37,0,1,1564
13,32,144,88,0,2,2753
14,20,199,41,1,0,1627
15,49,181,36,1,1,1552
16,36,209,111,0,1,3264
17,38,144,70,1,0,1651
18,31,199,111,0,0,2825
19,42,211,60,0,3,2874
20,31,200,99,1,2,2865
21,36,190,102,1,3,3145
22,54,163,99,0,3,3260
23,58,167,89,1,3,2650
24,37,206,65,0,1,2389
25,60,188,77,0,0,2017
26,55,150,107,1,0,1996
27,23,145,104,0,2,3172
28,57,153,112,1,3,2950
29,23,169,90,1,0,2044
30,31,144,55,0,1,1842
31,41,209,102,0,4,4227
32,41,212,120,0,2,3844
33,45,182,37,0,3,2073
34,53,187,86,1,4,3026
35,24,143,116,1,1,2556
36,49,134,49,0,2,1720
37,46,150,55,1,1,1679
38,40,200,66,0,0,2046
39,57,178,54,0,2,2080
40,18,175,85,1,1,2334
41,59,141,52,0,0,1352
42,21,160,96,0,1,2781
43,36,213,54,1,3,2502
44,51,162,108,0,2,3135
45,21,165,62,0,1,2188
46,37,161,44,1,1,1640
47,23,144,109,0,2,3269
48,55,190,114,0,4,4208
49,21,152,91,1,2,2587
50,60,165,44,0,4,2145
51,23,149,120,0,3,3933
52,28,207,83,1,0,2082
53,40,170,96,0,0,2355
54,30,137,48,0,0,1462
55,24,169,107,0,1,3020
56,55,160,111,1,0,2077
57,60,168,39,0,4,2045
58,26,146,38,1,1,1565
59,18,181,75,0,4,3533
60,55,137,57,0,4,2274
61,51,179,120,1,4,3592
62,25,141,54,0,1,1851
63,20,162,81,0,1,2526
64,31,196,87,1,2,2673
65,55,145,83,0,2,2455
66,39,180,55,1,3,2320
67,24,177,44,1,2,2013
68,58,183,78,1,1,2041
69,20,204,62,1,4,2975
70,32,150,116,0,3,3761
71,49,177,58,1,2,2046
72,48,187,56,1,4,2540
73,23,147,90,1,3,2821
74,46,141,57,0,3,2186
75,54,206,116,0,4,4416
76,57,205,57,1,3,2351
77,57,168,39,0,4,2077
78,56,143,86,1,3,2489
79,46,196,40,0,2,2020
80,18,189,119,0,3,4290
81,31,195,81,1,1,2291
82,26,191,112,1,4,3728
83,46,152,81,0,4,3119
84,29,155,59,1,1,1853
85,34,156,96,1,1,2298
86,45,204,41,1,3,2180
87,40,171,48,1,3,2152
88,48,152,40,1,2,1674
89,45,176,45,0,1,1760
90,58,148,50,1,0,1340
91,44,213,112,1,0,2343
92,56,158,61,0,0,1615
93,57,184,68,1,2,2169
94,18,154,88,0,4,3617
95,31,159,100,1,2,2682
96,28,149,72,1,2,2253
97,19,152,36,1,4,2221
98,57,190,117,0,3,3870
99,20,207,62,0,4,3417
100,33,147,58,1,1,1782
101,53,161,52,1,2,1856
102,60,172,79,1,2,2249
103,51,174,57,1,1,1777
104,48,192,71,1,2,2311
105,29,152,99,1,1,2349
106,51,142,63,1,3,2154
107,34,175,69,1,0,1776
108,43,190,90,0,2,3040
109,56,152,37,1,4,1934
110,29,206,118,0,0,2991
111,54,207,112,1,4,3592
112,32,203,78,1,1,2281
113,23,188,46,0,4,2804
114,56,180,60,1,4,2503
115,48,190,99,0,2,3183
116,18,213,74,1,0,2056
117,48,191,40,0,1,1743
118,58,174,96,1,2,2515
119,60,191,90,0,4,3553
120,57,143,40,0,2,1529
121,21,192,60,0,1,2329
122,30,193,58,0,4,3080
123,23,196,111,0,0,2862
124,58,141,47,1,2,1655
125,53,186,115,1,1,2554
126,36,206,39,0,0,1674
127,33,191,120,0,3,4183
128,38,151,76,1,3,2507
129,42,181,52,0,0,1698
130,44,141,41,1,0,1287
131,46,149,63,0,2,2148
132,38,151,74,0,2,2462
133,39,152,92,0,4,3474
134,54,138,104,0,0,2204
135,29,175,114,0,1,3149
136,51,184,70,0,0,1943
137,19,158,102,1,4,3416
138,35,142,99,0,2,2941
139,55,200,92,1,1,2309
140,45,197,90,1,1,2331
141,24,163,97,0,3,3508
142,48,159,76,0,0,1916
143,33,203,86,1,1,2377
144,60,186,74,0,0,1958
145,32,185,92,1,0,2079
146,33,170,103,0,2,3249
147,52,180,67,1,3,2414
148,56,178,73,1,4,2720
149,58,169,59,1,3,2183
150,30,201,35,0,1,1858
151,20,165,48,1,0,1579
152,38,197,72,0,1,2451
153,40,151,73,0,4,2971
154,22,197,69,1,3,2761
155,46,213,89,0,0,2450
156,25,201,108,0,1,3242
157,58,135,86,1,4,2678
158,19,165,68,0,0,2019
159,35,187,110,0,3,3899
160,20,169,110,1,0,2282
161,41,137,40,1,4,2022
162,25,172,104,0,1,2977
163,59,134,70,0,4,2535
164,31,200,74,0,2,2888
165,51,171,47,1,2,1846
166,58,134,44,0,3,1710
167,59,194,45,1,1,1662
168,46,199,44,0,0,1646
169,37,180,67,1,2,2270
170,27,166,64,1,3,2478
171,42,211,103,0,2,3475
172,56,156,62,0,4,2564
173,51,147,40,0,3,1794
174,26,153,52,0,4,2606
175,21,153,45,1,3,2150
176,59,205,92,0,1,2708
177,49,179,86,1,2,2457
178,48,196,98,1,0,2103
179,34,151,89,0,1,2491
180,59,203,46,0,2,2083
181,47,178,113,0,0,2627
182,30,147,83,0,4,3297
183,42,134,97,1,2,2445
184,35,180,86,1,3,2844
185,48,206,67,1,0,1796
186,37,207,104,1,4,3591
